id,WorkDatasetSize,WorkMethodsFrequency,Frequency
2599,10GB,Bayesian,NA
2600,NA,Bayesian,NA
2601,10GB,Bayesian,NA
2602,100GB,Bayesian,NA
2603,NA,Bayesian,NA
2604,NA,Bayesian,NA
2605,NA,Bayesian,NA
2606,NA,Bayesian,NA
2607,NA,Bayesian,NA
2608,NA,Bayesian,NA
2609,NA,Bayesian,NA
2610,NA,Bayesian,NA
2611,10TB,Bayesian,NA
2612,NA,Bayesian,NA
2613,1GB,Bayesian,NA
2614,1GB,Bayesian,NA
2615,NA,Bayesian,NA
2616,1GB,Bayesian,NA
2617,1GB,Bayesian,NA
2618,NA,Bayesian,NA
2619,100MB,Bayesian,NA
2620,NA,Bayesian,NA
2621,1GB,Bayesian,NA
2622,NA,Bayesian,NA
2623,10MB,Bayesian,NA
2624,NA,Bayesian,NA
2625,NA,Bayesian,NA
2626,NA,Bayesian,NA
2627,NA,Bayesian,Rarely
2628,NA,Bayesian,NA
2629,100GB,Bayesian,NA
2630,NA,Bayesian,NA
2631,100MB,Bayesian,NA
2632,100TB,Bayesian,NA
2633,NA,Bayesian,NA
2634,10MB,Bayesian,NA
2635,10GB,Bayesian,NA
2636,1GB,Bayesian,Sometimes
2637,NA,Bayesian,NA
2638,NA,Bayesian,NA
2639,NA,Bayesian,NA
2640,1GB,Bayesian,NA
2641,NA,Bayesian,NA
2642,NA,Bayesian,NA
2643,NA,Bayesian,NA
2644,100MB,Bayesian,NA
2645,1MB,Bayesian,NA
2646,NA,Bayesian,NA
2647,NA,Bayesian,NA
2648,100MB,Bayesian,NA
2649,NA,Bayesian,NA
2650,100MB,Bayesian,NA
2651,10MB,Bayesian,NA
2652,NA,Bayesian,NA
2653,NA,Bayesian,NA
2654,NA,Bayesian,NA
2655,1GB,Bayesian,NA
2656,100MB,Bayesian,Often
2657,NA,Bayesian,NA
2658,NA,Bayesian,NA
2659,NA,Bayesian,NA
2660,10GB,Bayesian,NA
2661,10GB,Bayesian,NA
2662,NA,Bayesian,NA
2663,NA,Bayesian,NA
2664,NA,Bayesian,NA
2665,1MB,Bayesian,NA
2666,1TB,Bayesian,NA
2667,NA,Bayesian,NA
2668,1GB,Bayesian,NA
2669,100TB,Bayesian,Often
2670,1GB,Bayesian,NA
2671,NA,Bayesian,NA
2672,NA,Bayesian,NA
2673,10GB,Bayesian,NA
2674,100MB,Bayesian,NA
2675,NA,Bayesian,NA
2676,NA,Bayesian,NA
2677,100MB,Bayesian,Sometimes
2678,NA,Bayesian,NA
2679,1GB,Bayesian,NA
2680,10MB,Bayesian,NA
2681,1GB,Bayesian,NA
2682,NA,Bayesian,NA
2683,NA,Bayesian,NA
2684,10GB,Bayesian,NA
2685,100MB,Bayesian,NA
2686,NA,Bayesian,NA
2687,100MB,Bayesian,NA
2688,100GB,Bayesian,NA
2689,NA,Bayesian,Sometimes
2690,NA,Bayesian,NA
2691,1GB,Bayesian,NA
2692,>1EB,Bayesian,NA
2693,100GB,Bayesian,NA
2694,100MB,Bayesian,NA
2695,100GB,Bayesian,NA
2696,1GB,Bayesian,NA
2697,NA,Bayesian,NA
2698,1TB,Bayesian,Most of the time
2699,100MB,Bayesian,NA
2700,NA,Bayesian,NA
2701,NA,Bayesian,NA
2702,NA,Bayesian,NA
2703,NA,Bayesian,NA
2704,NA,Bayesian,NA
2705,10TB,Bayesian,NA
2706,NA,Bayesian,NA
2707,NA,Bayesian,NA
2708,NA,Bayesian,NA
2709,100MB,Bayesian,NA
2710,100MB,Bayesian,NA
2711,<1MB,Bayesian,NA
2712,NA,Bayesian,NA
2713,100TB,Bayesian,NA
2714,NA,Bayesian,NA
2715,NA,Bayesian,NA
2716,10GB,Bayesian,NA
2717,100MB,Bayesian,NA
2718,NA,Bayesian,NA
2719,1GB,Bayesian,NA
2720,1MB,Bayesian,NA
2721,1PB,Bayesian,NA
2722,NA,Bayesian,NA
2723,NA,Bayesian,NA
2724,100GB,Bayesian,NA
2725,100TB,Bayesian,NA
2726,100MB,Bayesian,NA
2727,10TB,Bayesian,NA
2728,NA,Bayesian,NA
2729,NA,Bayesian,NA
2730,1GB,Bayesian,NA
2731,NA,Bayesian,NA
2732,NA,Bayesian,NA
2733,10GB,Bayesian,NA
2734,100GB,Bayesian,NA
2735,1GB,Bayesian,Often
2736,NA,Bayesian,NA
2737,10MB,Bayesian,NA
2738,100TB,Bayesian,NA
2739,NA,Bayesian,NA
2740,1GB,Bayesian,NA
2741,100GB,Bayesian,NA
2742,NA,Bayesian,NA
2743,NA,Bayesian,NA
2744,10GB,Bayesian,NA
2745,100GB,Bayesian,NA
2746,NA,Bayesian,NA
2747,10GB,Bayesian,NA
2748,100PB,Bayesian,Sometimes
2749,NA,Bayesian,NA
2750,1GB,Bayesian,Sometimes
2751,NA,Bayesian,NA
2752,NA,Bayesian,NA
2753,NA,Bayesian,NA
2754,1GB,Bayesian,NA
2755,NA,Bayesian,NA
2756,NA,Bayesian,NA
2757,100GB,Bayesian,NA
2758,NA,Bayesian,NA
2759,NA,Bayesian,NA
2760,NA,Bayesian,NA
2761,NA,Bayesian,NA
2762,100GB,Bayesian,Most of the time
2763,NA,Bayesian,NA
2764,10GB,Bayesian,Often
2765,10TB,Bayesian,NA
2766,NA,Bayesian,NA
2767,NA,Bayesian,NA
2768,1TB,Bayesian,NA
2769,NA,Bayesian,NA
2770,NA,Bayesian,NA
2771,NA,Bayesian,NA
2772,NA,Bayesian,NA
2773,10GB,Bayesian,NA
2774,1GB,Bayesian,NA
2775,10MB,Bayesian,NA
2776,NA,Bayesian,NA
2777,1GB,Bayesian,NA
2778,100GB,Bayesian,NA
2779,NA,Bayesian,NA
2780,1TB,Bayesian,NA
2781,10MB,Bayesian,NA
2782,100MB,Bayesian,NA
2783,1GB,Bayesian,NA
2784,10MB,Bayesian,Often
2785,1GB,Bayesian,NA
2786,NA,Bayesian,NA
2787,NA,Bayesian,NA
2788,10GB,Bayesian,NA
2789,NA,Bayesian,NA
2790,10MB,Bayesian,NA
2791,100TB,Bayesian,Often
2792,NA,Bayesian,NA
2793,NA,Bayesian,NA
2794,NA,Bayesian,NA
2795,1GB,Bayesian,NA
2796,10MB,Bayesian,NA
2797,1GB,Bayesian,NA
2798,10GB,Bayesian,NA
2799,100GB,Bayesian,Sometimes
2800,10GB,Bayesian,NA
2801,NA,Bayesian,NA
2802,10GB,Bayesian,NA
2803,NA,Bayesian,NA
2804,NA,Bayesian,NA
2805,100GB,Bayesian,NA
2806,NA,Bayesian,NA
2807,NA,Bayesian,NA
2808,100GB,Bayesian,NA
2809,100MB,Bayesian,Often
2810,NA,Bayesian,NA
2811,NA,Bayesian,NA
2812,NA,Bayesian,NA
2813,NA,Bayesian,NA
2814,1GB,Bayesian,NA
2815,NA,Bayesian,NA
2816,NA,Bayesian,NA
2817,10GB,Bayesian,NA
2818,<1MB,Bayesian,NA
2819,NA,Bayesian,NA
2820,NA,Bayesian,NA
2821,NA,Bayesian,NA
2822,1GB,Bayesian,NA
2823,NA,Bayesian,NA
2824,100MB,Bayesian,NA
2825,NA,Bayesian,NA
2826,NA,Bayesian,NA
2827,10GB,Bayesian,NA
2828,NA,Bayesian,NA
2829,1GB,Bayesian,NA
2830,10MB,Bayesian,NA
2831,1GB,Bayesian,NA
2832,10GB,Bayesian,NA
2833,NA,Bayesian,NA
2834,100GB,Bayesian,NA
2835,1GB,Bayesian,NA
2836,NA,Bayesian,NA
2837,NA,Bayesian,NA
2838,100MB,Bayesian,NA
2839,10MB,Bayesian,Often
2840,NA,Bayesian,NA
2841,1GB,Bayesian,NA
2842,100GB,Bayesian,NA
2843,1GB,Bayesian,NA
2844,10GB,Bayesian,NA
2845,NA,Bayesian,NA
2846,NA,Bayesian,NA
2847,NA,Bayesian,NA
2848,1TB,Bayesian,Often
2849,NA,Bayesian,NA
2850,10TB,Bayesian,NA
2851,NA,Bayesian,NA
2852,10MB,Bayesian,NA
2853,1GB,Bayesian,NA
2854,10GB,Bayesian,NA
2855,NA,Bayesian,Sometimes
2856,1GB,Bayesian,NA
2857,100GB,Bayesian,NA
2858,100MB,Bayesian,NA
2859,NA,Bayesian,NA
2860,100MB,Bayesian,NA
2861,1GB,Bayesian,Rarely
2862,10TB,Bayesian,NA
2863,10GB,Bayesian,NA
2864,NA,Bayesian,NA
2865,100MB,Bayesian,NA
2866,NA,Bayesian,NA
2867,NA,Bayesian,NA
2868,NA,Bayesian,NA
2869,10GB,Bayesian,NA
2870,NA,Bayesian,NA
2871,10GB,Bayesian,NA
2872,1GB,Bayesian,Rarely
2873,NA,Bayesian,NA
2874,1GB,Bayesian,Often
2875,10GB,Bayesian,NA
2876,NA,Bayesian,NA
2877,10GB,Bayesian,NA
2878,NA,Bayesian,NA
2879,1GB,Bayesian,NA
2880,100MB,Bayesian,NA
2881,NA,Bayesian,NA
2882,10GB,Bayesian,NA
2883,NA,Bayesian,Often
2884,100GB,Bayesian,Often
2885,10MB,Bayesian,NA
2886,NA,Bayesian,NA
2887,10MB,Bayesian,Sometimes
2888,NA,Bayesian,NA
2889,100MB,Bayesian,NA
2890,1GB,Bayesian,NA
2891,NA,Bayesian,NA
2892,NA,Bayesian,NA
2893,NA,Bayesian,NA
2894,NA,Bayesian,NA
2895,NA,Bayesian,NA
1,10GB,CNNs,NA
2,1GB,CNNs,NA
3,100GB,CNNs,NA
4,1GB,CNNs,Most of the time
5,1GB,CNNs,NA
6,100MB,CNNs,NA
7,1TB,CNNs,NA
8,10TB,CNNs,Often
9,NA,CNNs,NA
10,10GB,CNNs,NA
11,1GB,CNNs,NA
12,100GB,CNNs,NA
13,NA,CNNs,NA
14,1GB,CNNs,NA
15,10GB,CNNs,NA
16,100MB,CNNs,NA
17,100GB,CNNs,NA
18,1GB,CNNs,NA
19,1GB,CNNs,Sometimes
20,10GB,CNNs,Most of the time
21,100MB,CNNs,NA
22,1TB,CNNs,NA
23,100MB,CNNs,NA
24,1GB,CNNs,NA
25,10MB,CNNs,Sometimes
26,10GB,CNNs,NA
27,100TB,CNNs,NA
28,100GB,CNNs,NA
29,100GB,CNNs,NA
30,100GB,CNNs,Sometimes
31,100MB,CNNs,Sometimes
32,1GB,CNNs,NA
33,100MB,CNNs,NA
34,100MB,CNNs,NA
35,1GB,CNNs,NA
36,10GB,CNNs,NA
37,1MB,CNNs,NA
38,1GB,CNNs,NA
39,100GB,CNNs,NA
40,100GB,CNNs,NA
41,100GB,CNNs,NA
42,1TB,CNNs,Most of the time
43,1GB,CNNs,NA
44,10GB,CNNs,NA
45,NA,CNNs,NA
46,<1MB,CNNs,NA
47,10GB,CNNs,NA
48,1GB,CNNs,Most of the time
49,10GB,CNNs,NA
50,1GB,CNNs,NA
51,10GB,CNNs,NA
52,1GB,CNNs,Most of the time
53,10MB,CNNs,Most of the time
54,10GB,CNNs,Most of the time
55,10GB,CNNs,NA
56,1GB,CNNs,NA
57,NA,CNNs,NA
58,NA,CNNs,NA
59,10TB,CNNs,NA
60,100GB,CNNs,NA
61,1TB,CNNs,Most of the time
62,10MB,CNNs,NA
63,1GB,CNNs,NA
64,10MB,CNNs,NA
65,1MB,CNNs,NA
66,10GB,CNNs,NA
67,1GB,CNNs,NA
68,NA,CNNs,NA
69,10GB,CNNs,NA
70,10GB,CNNs,NA
71,10MB,CNNs,NA
72,100GB,CNNs,NA
73,10GB,CNNs,Most of the time
74,10GB,CNNs,NA
75,100MB,CNNs,NA
76,1TB,CNNs,Often
77,1GB,CNNs,NA
78,100GB,CNNs,NA
79,10GB,CNNs,NA
80,1GB,CNNs,NA
81,1GB,CNNs,NA
82,100MB,CNNs,NA
83,10GB,CNNs,NA
84,1MB,CNNs,NA
85,100GB,CNNs,Most of the time
86,100GB,CNNs,NA
87,1PB,CNNs,NA
88,1MB,CNNs,NA
89,100MB,CNNs,NA
90,10GB,CNNs,NA
91,1GB,CNNs,Often
92,1TB,CNNs,NA
93,100MB,CNNs,NA
94,10TB,CNNs,NA
95,NA,CNNs,NA
96,1GB,CNNs,NA
97,10GB,CNNs,Most of the time
98,10GB,CNNs,NA
99,1GB,CNNs,NA
100,10GB,CNNs,NA
101,10MB,CNNs,NA
102,10MB,CNNs,NA
103,100GB,CNNs,Most of the time
104,100MB,CNNs,Sometimes
105,100MB,CNNs,NA
106,1TB,CNNs,NA
107,100MB,CNNs,NA
108,10MB,CNNs,NA
109,10GB,CNNs,Sometimes
110,10MB,CNNs,NA
111,100GB,CNNs,Sometimes
112,10MB,CNNs,NA
113,100MB,CNNs,NA
114,10MB,CNNs,NA
115,100GB,CNNs,NA
116,100MB,CNNs,Sometimes
117,100MB,CNNs,NA
118,NA,CNNs,NA
119,1GB,CNNs,Often
120,100GB,CNNs,NA
121,100GB,CNNs,NA
122,100TB,CNNs,NA
123,100GB,CNNs,NA
124,100MB,CNNs,NA
125,<1MB,CNNs,NA
126,100GB,CNNs,Most of the time
127,10GB,CNNs,Often
128,100MB,CNNs,NA
129,1GB,CNNs,NA
130,NA,CNNs,NA
131,10MB,CNNs,NA
132,10MB,CNNs,NA
133,1TB,CNNs,Most of the time
134,100MB,CNNs,Sometimes
135,1GB,CNNs,NA
136,10GB,CNNs,Often
137,NA,CNNs,Rarely
138,1GB,CNNs,NA
139,100GB,CNNs,NA
140,1GB,CNNs,NA
141,1GB,CNNs,NA
142,NA,CNNs,NA
143,NA,CNNs,NA
144,1GB,CNNs,NA
145,100MB,CNNs,NA
146,NA,CNNs,NA
147,100MB,CNNs,Often
148,1GB,CNNs,Often
149,1GB,CNNs,Sometimes
150,1GB,CNNs,NA
151,100MB,CNNs,NA
152,100TB,CNNs,NA
153,100MB,CNNs,NA
154,1GB,CNNs,NA
155,10GB,CNNs,NA
156,10MB,CNNs,NA
157,10GB,CNNs,Most of the time
158,100MB,CNNs,Most of the time
159,100GB,CNNs,NA
160,NA,CNNs,NA
161,1GB,CNNs,Often
162,1GB,CNNs,NA
163,100GB,CNNs,NA
164,1GB,CNNs,NA
165,NA,CNNs,NA
166,10GB,CNNs,NA
167,1GB,CNNs,NA
168,100MB,CNNs,NA
169,100MB,CNNs,NA
170,100MB,CNNs,NA
171,10MB,CNNs,NA
172,10MB,CNNs,Often
173,1GB,CNNs,Sometimes
174,10GB,CNNs,NA
175,NA,CNNs,NA
176,10GB,CNNs,NA
177,1GB,CNNs,NA
178,100GB,CNNs,NA
179,10GB,CNNs,NA
180,NA,CNNs,NA
181,1GB,CNNs,NA
182,100MB,CNNs,NA
183,10MB,CNNs,NA
184,10GB,CNNs,Often
185,10GB,CNNs,NA
186,NA,CNNs,NA
187,1GB,CNNs,NA
188,100MB,CNNs,Sometimes
189,NA,CNNs,NA
190,10GB,CNNs,NA
191,1GB,CNNs,NA
192,1GB,CNNs,NA
193,10GB,CNNs,Most of the time
194,10GB,CNNs,NA
195,1GB,CNNs,NA
196,100GB,CNNs,NA
197,100TB,CNNs,Most of the time
198,100MB,CNNs,NA
199,1MB,CNNs,NA
200,1GB,CNNs,NA
201,1GB,CNNs,NA
202,10GB,CNNs,NA
203,100MB,CNNs,NA
204,10GB,CNNs,NA
205,1GB,CNNs,NA
206,10GB,CNNs,NA
207,10GB,CNNs,Often
208,100MB,CNNs,NA
209,10TB,CNNs,NA
210,10GB,CNNs,Most of the time
211,10GB,CNNs,NA
212,100TB,CNNs,NA
213,100MB,CNNs,NA
214,100MB,CNNs,NA
215,10GB,CNNs,NA
216,1GB,CNNs,NA
217,100MB,CNNs,NA
218,1GB,CNNs,NA
219,100MB,CNNs,NA
220,1GB,CNNs,Sometimes
221,1TB,CNNs,Sometimes
222,10GB,CNNs,NA
223,100GB,CNNs,NA
224,10GB,CNNs,NA
225,100TB,CNNs,Rarely
226,10GB,CNNs,NA
227,1MB,CNNs,NA
228,1TB,CNNs,Rarely
229,100GB,CNNs,NA
230,10GB,CNNs,NA
231,10GB,CNNs,NA
232,10MB,CNNs,NA
233,1MB,CNNs,Sometimes
234,100GB,CNNs,NA
235,100TB,CNNs,Often
236,10GB,CNNs,Often
237,1TB,CNNs,Sometimes
238,100MB,CNNs,NA
239,10TB,CNNs,NA
240,10GB,CNNs,NA
241,10TB,CNNs,NA
242,<1MB,CNNs,NA
243,1TB,CNNs,Sometimes
244,NA,CNNs,Most of the time
245,100GB,CNNs,Often
246,100MB,CNNs,Rarely
247,NA,CNNs,NA
248,10GB,CNNs,NA
249,NA,CNNs,NA
250,NA,CNNs,NA
251,1GB,CNNs,NA
252,100MB,CNNs,NA
253,100MB,CNNs,NA
254,100GB,CNNs,Most of the time
255,100MB,CNNs,NA
256,1TB,CNNs,Most of the time
257,1GB,CNNs,Sometimes
258,1GB,CNNs,NA
259,NA,CNNs,NA
260,1GB,CNNs,NA
261,10GB,CNNs,NA
262,100MB,CNNs,NA
263,10MB,CNNs,NA
264,100MB,CNNs,NA
265,1GB,CNNs,NA
266,10TB,CNNs,Sometimes
267,100MB,CNNs,Sometimes
268,100GB,CNNs,NA
269,1TB,CNNs,NA
270,1MB,CNNs,NA
271,1TB,CNNs,Often
272,10MB,CNNs,NA
273,10TB,CNNs,Sometimes
274,10MB,CNNs,Sometimes
275,NA,CNNs,NA
276,1GB,CNNs,NA
277,1TB,CNNs,NA
278,10GB,CNNs,NA
279,10GB,CNNs,Often
280,10GB,CNNs,Most of the time
281,10GB,CNNs,NA
282,1GB,CNNs,NA
283,10GB,CNNs,Often
284,10MB,CNNs,NA
285,100TB,CNNs,NA
286,NA,CNNs,Sometimes
287,10GB,CNNs,NA
288,100GB,CNNs,NA
289,1GB,CNNs,NA
290,10GB,CNNs,NA
291,10GB,CNNs,NA
292,10GB,CNNs,Often
293,<1MB,CNNs,NA
294,NA,CNNs,NA
295,100TB,CNNs,NA
296,1GB,CNNs,NA
297,10GB,CNNs,Most of the time
298,10GB,CNNs,NA
299,1GB,CNNs,Often
300,1MB,CNNs,NA
301,10GB,CNNs,NA
302,100MB,CNNs,NA
303,10MB,CNNs,NA
304,100GB,CNNs,Often
305,1GB,CNNs,Often
306,10GB,CNNs,Most of the time
307,1GB,CNNs,Most of the time
308,10GB,CNNs,Most of the time
309,100MB,CNNs,NA
310,<1MB,CNNs,NA
311,10TB,CNNs,NA
312,1GB,CNNs,NA
313,10GB,CNNs,NA
314,100MB,CNNs,NA
315,1TB,CNNs,NA
316,10GB,CNNs,Sometimes
317,1GB,CNNs,Often
318,10MB,CNNs,NA
319,100MB,CNNs,Sometimes
320,100MB,CNNs,Sometimes
321,NA,CNNs,NA
322,10GB,CNNs,Most of the time
323,100MB,CNNs,NA
324,10MB,CNNs,NA
325,10GB,CNNs,Often
326,100MB,CNNs,Sometimes
327,100MB,CNNs,NA
328,10GB,CNNs,Most of the time
329,10MB,CNNs,NA
330,1GB,CNNs,NA
331,1GB,CNNs,NA
332,NA,CNNs,NA
333,1GB,CNNs,NA
334,10MB,CNNs,NA
335,10GB,CNNs,Sometimes
336,1GB,CNNs,NA
337,100GB,CNNs,NA
338,100MB,CNNs,NA
339,1GB,CNNs,NA
340,100MB,CNNs,NA
341,100MB,CNNs,Often
342,100GB,CNNs,Often
343,10GB,CNNs,Most of the time
344,100MB,CNNs,Often
345,100GB,CNNs,Most of the time
346,1GB,CNNs,NA
347,10GB,CNNs,Most of the time
348,1GB,CNNs,NA
349,100GB,CNNs,Most of the time
350,1GB,CNNs,NA
351,10GB,CNNs,Most of the time
352,1GB,CNNs,NA
353,10TB,CNNs,NA
354,100GB,CNNs,Often
355,100MB,CNNs,Often
356,100MB,CNNs,NA
357,1GB,CNNs,NA
358,10MB,CNNs,NA
359,1GB,CNNs,Often
360,NA,CNNs,NA
361,100GB,CNNs,Sometimes
362,100GB,CNNs,Most of the time
363,1GB,CNNs,Most of the time
364,NA,CNNs,NA
365,100GB,CNNs,NA
366,1GB,CNNs,NA
367,1GB,CNNs,NA
368,10GB,CNNs,Sometimes
369,1TB,CNNs,NA
370,100MB,CNNs,NA
371,10MB,CNNs,NA
372,<1MB,CNNs,NA
373,1TB,CNNs,NA
374,1GB,CNNs,NA
375,10GB,CNNs,NA
376,1TB,CNNs,Often
377,1GB,CNNs,Often
378,100MB,CNNs,NA
379,100MB,CNNs,NA
380,10MB,CNNs,NA
381,100MB,CNNs,NA
382,10GB,CNNs,Most of the time
383,10GB,CNNs,NA
384,1GB,CNNs,NA
385,100GB,CNNs,NA
386,1GB,CNNs,NA
387,1GB,CNNs,Sometimes
388,10GB,CNNs,NA
389,1TB,CNNs,Sometimes
390,100MB,CNNs,Sometimes
391,10GB,CNNs,Most of the time
392,100GB,CNNs,NA
393,100MB,CNNs,NA
394,10GB,CNNs,Often
395,NA,CNNs,Often
396,1GB,CNNs,Rarely
397,100GB,CNNs,NA
398,1GB,CNNs,Often
399,100GB,CNNs,Most of the time
400,1GB,CNNs,NA
401,10GB,CNNs,NA
402,1TB,CNNs,NA
403,1GB,CNNs,NA
404,1GB,CNNs,NA
405,1GB,CNNs,NA
406,10GB,CNNs,NA
407,1GB,CNNs,NA
408,1MB,CNNs,NA
409,100MB,CNNs,NA
410,10GB,CNNs,NA
411,10MB,CNNs,NA
412,100MB,CNNs,NA
413,1GB,CNNs,NA
414,10MB,CNNs,NA
415,100MB,CNNs,NA
416,10GB,CNNs,Most of the time
417,10GB,CNNs,NA
418,10GB,CNNs,NA
419,1GB,CNNs,NA
420,100MB,CNNs,NA
421,10MB,CNNs,Often
422,100MB,CNNs,NA
423,1TB,CNNs,NA
424,1GB,CNNs,Often
425,100MB,CNNs,Most of the time
426,10MB,CNNs,NA
427,100GB,CNNs,NA
428,1GB,CNNs,NA
429,NA,CNNs,NA
430,10GB,CNNs,Sometimes
431,NA,CNNs,NA
432,10GB,CNNs,NA
433,10MB,CNNs,NA
434,1GB,CNNs,NA
435,<1MB,CNNs,NA
436,1GB,CNNs,Sometimes
437,1EB,CNNs,NA
438,100MB,CNNs,Most of the time
439,NA,CNNs,NA
440,NA,CNNs,NA
441,1GB,CNNs,NA
442,100MB,CNNs,Sometimes
443,1TB,CNNs,NA
444,10GB,CNNs,NA
445,1TB,CNNs,NA
446,10GB,CNNs,NA
447,100MB,CNNs,NA
448,100MB,CNNs,NA
449,1TB,CNNs,Often
450,10GB,CNNs,NA
451,10GB,CNNs,NA
452,10GB,CNNs,NA
453,1GB,CNNs,NA
454,NA,CNNs,NA
455,100MB,CNNs,NA
456,1GB,CNNs,NA
457,100GB,CNNs,NA
458,10GB,CNNs,NA
459,1GB,CNNs,NA
460,10GB,CNNs,NA
461,10GB,CNNs,Sometimes
462,100MB,CNNs,NA
463,1GB,CNNs,NA
464,NA,CNNs,NA
465,10GB,CNNs,Often
466,1GB,CNNs,Sometimes
467,1TB,CNNs,NA
468,1GB,CNNs,NA
469,100MB,CNNs,Sometimes
470,10GB,CNNs,NA
471,1TB,CNNs,NA
472,10MB,CNNs,NA
473,NA,CNNs,NA
474,100GB,CNNs,NA
475,10GB,CNNs,NA
476,100GB,CNNs,Most of the time
477,10GB,CNNs,Often
478,10GB,CNNs,NA
479,10GB,CNNs,Most of the time
480,100MB,CNNs,Sometimes
481,100MB,CNNs,Most of the time
482,1GB,CNNs,NA
483,1GB,CNNs,NA
484,1GB,CNNs,Sometimes
485,10GB,CNNs,NA
486,100GB,CNNs,NA
487,1MB,CNNs,Sometimes
488,10TB,CNNs,NA
489,100GB,CNNs,Often
490,100MB,CNNs,Sometimes
491,100GB,CNNs,NA
492,100MB,CNNs,NA
493,10GB,CNNs,Often
494,1TB,CNNs,NA
495,1GB,CNNs,NA
496,1GB,CNNs,NA
497,100MB,CNNs,NA
498,10GB,CNNs,NA
499,1GB,CNNs,NA
500,1GB,CNNs,NA
501,NA,CNNs,NA
502,100MB,CNNs,NA
503,10GB,CNNs,Sometimes
504,<1MB,CNNs,NA
505,10GB,CNNs,NA
506,100MB,CNNs,NA
507,<1MB,CNNs,NA
508,10MB,CNNs,NA
509,10GB,CNNs,Most of the time
510,1GB,CNNs,NA
511,NA,CNNs,NA
512,10GB,CNNs,NA
513,1TB,CNNs,NA
514,10GB,CNNs,NA
515,10GB,CNNs,NA
516,1GB,CNNs,NA
517,1GB,CNNs,NA
518,10GB,CNNs,NA
519,1GB,CNNs,NA
520,1GB,CNNs,NA
521,10GB,CNNs,NA
522,NA,CNNs,NA
523,100GB,CNNs,NA
524,100MB,CNNs,NA
525,10MB,CNNs,Rarely
526,10MB,CNNs,NA
527,1TB,CNNs,NA
528,100MB,CNNs,NA
529,100GB,CNNs,Most of the time
530,100MB,CNNs,NA
531,10GB,CNNs,NA
532,<1MB,CNNs,NA
533,NA,CNNs,NA
534,1GB,CNNs,NA
535,100MB,CNNs,NA
536,NA,CNNs,NA
537,100MB,CNNs,NA
538,100MB,CNNs,Often
539,100GB,CNNs,NA
540,NA,CNNs,Most of the time
541,1GB,CNNs,NA
542,100GB,CNNs,NA
543,10GB,CNNs,Most of the time
544,100GB,CNNs,Most of the time
545,10GB,CNNs,NA
546,10MB,CNNs,NA
547,100MB,CNNs,NA
548,NA,CNNs,NA
549,10GB,CNNs,NA
550,100GB,CNNs,NA
551,100MB,CNNs,NA
552,1MB,CNNs,NA
553,NA,CNNs,NA
554,100MB,CNNs,NA
555,10GB,CNNs,NA
556,100MB,CNNs,NA
557,100TB,CNNs,NA
558,1GB,CNNs,NA
559,10GB,CNNs,NA
560,10GB,CNNs,Often
561,1TB,CNNs,NA
562,100MB,CNNs,Sometimes
563,100MB,CNNs,NA
564,NA,CNNs,NA
565,100GB,CNNs,NA
566,<1MB,CNNs,NA
567,1GB,CNNs,NA
568,NA,CNNs,NA
569,NA,CNNs,NA
570,10GB,CNNs,NA
571,NA,CNNs,NA
572,100GB,CNNs,NA
573,100MB,CNNs,NA
574,10MB,CNNs,NA
575,NA,CNNs,NA
576,10MB,CNNs,NA
577,1GB,CNNs,NA
578,NA,CNNs,NA
579,1GB,CNNs,NA
580,100GB,CNNs,NA
581,100MB,CNNs,NA
582,1PB,CNNs,Sometimes
583,10GB,CNNs,NA
584,100GB,CNNs,Often
585,100MB,CNNs,NA
586,10MB,CNNs,NA
587,100GB,CNNs,NA
588,100GB,CNNs,Often
589,100TB,CNNs,NA
590,10GB,CNNs,Often
591,1GB,CNNs,Most of the time
592,100MB,CNNs,NA
593,10GB,CNNs,Sometimes
594,100MB,CNNs,NA
595,1GB,CNNs,NA
596,1GB,CNNs,NA
597,100MB,CNNs,NA
598,100MB,CNNs,NA
599,100GB,CNNs,Often
600,100GB,CNNs,NA
601,1GB,CNNs,Often
602,1GB,CNNs,Often
603,1GB,CNNs,NA
604,<1MB,CNNs,NA
605,10GB,CNNs,Most of the time
606,10GB,CNNs,NA
607,10MB,CNNs,NA
608,1GB,CNNs,NA
609,10GB,CNNs,NA
610,10TB,CNNs,NA
611,10GB,CNNs,NA
612,1GB,CNNs,NA
613,10MB,CNNs,NA
614,100MB,CNNs,Most of the time
615,NA,CNNs,NA
616,1GB,CNNs,NA
617,100MB,CNNs,NA
618,1GB,CNNs,NA
619,100MB,CNNs,NA
620,1GB,CNNs,Rarely
621,10GB,CNNs,NA
622,1TB,CNNs,NA
623,10GB,CNNs,NA
624,100MB,CNNs,NA
625,<1MB,CNNs,NA
626,10TB,CNNs,NA
627,1GB,CNNs,Sometimes
628,10GB,CNNs,NA
629,100MB,CNNs,NA
630,NA,CNNs,NA
631,100MB,CNNs,NA
632,1TB,CNNs,NA
633,100MB,CNNs,NA
634,100GB,CNNs,NA
635,10GB,CNNs,NA
636,10GB,CNNs,NA
637,1GB,CNNs,NA
638,1GB,CNNs,NA
639,100GB,CNNs,Often
640,1TB,CNNs,NA
641,NA,CNNs,NA
642,100GB,CNNs,Sometimes
643,10GB,CNNs,NA
644,1MB,CNNs,NA
645,10MB,CNNs,NA
646,10GB,CNNs,NA
